"Story","Title","Result","Date","Stability","Duration (s)"
"Login to users","Login usuario","SUCCESS","2022-02-22T11:09:48.72-05:00[America/Bogota]","0.0","10.44"
"Articles","List articles","SUCCESS","2022-01-27T12:55:35.404-05:00[America/Bogota]","0.0","6.88"
"Articles","Put article","SUCCESS","2022-01-27T12:55:42.729-05:00[America/Bogota]","0.0","0.98"
"get tags","Andrea get articles tags","SUCCESS","2022-01-21T11:08:51.347-05:00[America/Bogota]","0.0","7.8"
"get tags","Andrea get tags","SUCCESS","2022-01-21T13:40:55.878-05:00[America/Bogota]","0.0","0.52"
